Label,Type,Description,Tag
Siger of Brabant,,,
Boetius of Dacia,,,
John of Jandun,,,
Marsilius of Padua,,Western philosophy,14th-century philosophy
Gaetano da Thiene (philosopher),,,
Agostino Nifo,,,
Marcantonio Zimara,,,
Sunni Islam,,,
Abu Hayyan al-Gharnati,,al-Andalus,Islamic Golden Age
Taqi al-Din al-Subki,,Arab World,Medieval era
Jamal al-Din al-Isnawi,,Egypt,
Taj al-Din al-Subki,,Lower Egypt,Mamluk Sultanate
Zain al-Din al-'Iraqi,,Egypt,
Siraj al-Din al-Bulqini,,Egypt,
Ibn al-Mulaqqin,,Egypt,
Al-Safadi,,,
Al-Suyuti,,Egypt,
Ibn Hajar al-Haytami,,,
Nur al-Din al-Haythami,,,
Ibn Hajar al-Asqalani,,,Bahri Era
Al-Sakhawi,,,
Zakariyya al-Ansari,,,
Al-Qastallani,,,
Al-Sha'rani,,,
Ibrahim al-Bajuri,,,
Al-Mahalli,,Egypt,
Badr al-Din al-Ayni,,,
Al-Maqrizi,,,
Al-Zarkashi,,,
Pope Gregory I,,,
Anselm of Canterbury,Scholasticism,Western philosophy,Medieval philosophy
Martianus Capella,,,
Medieval philosophy,,,
Magnus Felix Ennodius,,,
Cassiodorus,,,
Alfred the Great,,,
Peter Abelard,Scholasticism,Western philosophy,Medieval philosophy
Jean de Meun,,,
Dante Alighieri,,,
Geoffrey Chaucer,,,Plantagenet
Elizabeth I,,,
George MacDonald,,,
J. R. R. Tolkien,,,
C. S. Lewis,,,
Publilius Syrus,,,
Attalus (Stoic),,,
Sotion (Pythagorean),,,
Demetrius the Cynic,,,
Petrarch,,,
Albertino Mussato,,,
Giovanni Colonna (cardinal 1295–1348),,,
Martin of Braga,,,
Junius Rusticus,,,
Apollonius of Chalcedon,,,
Marcus Cornelius Fronto,,,
Apuleius,Middle Platonism,,
Herodes Atticus,,,
Himerius,,,
Hermes Trismegistus,,,
Gaius the Platonist,,,
Novatian,,,
John of Salisbury,,,
Charles Gildon,,,
Charles Nodier,,,
Carlo Collodi,,,
Franz Kafka,,,
Ibn Khaldun,,,
Ibn Zafar al-Siqilli,,,
Realism (international relations),,,
James Harrington (author),,,
Giambattista Vico,Christian humanism,Western philosophy,18th-century philosophy
Marquis de Sade,Libertine,,
Vincenzo Cuoco,,,
Vilfredo Pareto,,,
Mikhail Bakunin,Collectivist anarchism,Russian philosophy,19th century philosophy
Antonio Gramsci,Continental philosophy,Western philosophy,20th-century philosophy
Louis Althusser,Western Marxism,Western philosophy,20th-century philosophy
Thomas Schelling,,,
Antonio Negri,Continental philosophy,Western philosophy,Contemporary philosophy
Kenneth Waltz,Neorealism,,Contemporary philosophy
Denis Diderot,Encyclopédistes,Western philosophy,18th-century philosophy
Carl Schmitt,Continental philosophy,Western philosophy,20th-century philosophy
Giulio Andreotti,,,
Philip Pettit,Civic republicanism,Western philosophy,Contemporary philosophy
Max Weber,,,
Ibn al-Khatib,,,
Abu Yahya ibn al-Sakkak,,,
Ibn al-Azraq,,,
Kâtip Çelebi,,,Ottoman
Mustafa Naima,,,
Ahmed Cevdet Pasha,,,
Arnold J. Toynbee,,,
Egon Orowan,,,
Mahdi Amel,,Middle Eastern philosophy,20th-century philosophy
Ronald Reagan,,,
Nicos Poulantzas,Continental philosophy,Western philosophy,20th-century philosophy
Friedrich Engels,Continental philosophy,Western philosophy,19th-century philosophy
Ludwig Feuerbach,Anthropological materialism,Western philosophy,19th-century philosophy
Charles Fourier,Utopian socialism,Western philosophy,19th-century philosophy
Marxists,,,
Moses Hess,,,
Lewis H. Morgan,,,
Max Stirner,Continental philosophy,Western philosophy,19th-century philosophy
Jakob Böhme,Christian mysticism,Western philosophy,Early modern philosophy
Arnold Geulincx,,,
Nicolas Malebranche,Rationalism,Western philosophy,17th-century philosophy
Pierre Bayle,Philosophical skepticism,Western philosophy,17th-century philosophy
Karl Daub,,,
Friedrich Heinrich Jacobi,German idealism,Western philosophy,19th-century philosophy
Martin Luther,,,Renaissance
Friedrich Schleiermacher,German Idealism,Western philosophy,18th-
Bruno Bauer,Rationalism,Western philosophy,19th-century philosophy
Nikolay Chernyshevsky,Russian nihilism,Russian philosophy,19th-century philosophy
Richard Wagner,,,
Paracelsus,Renaissance humanism,Western philosophy,Renaissance philosophy
Caspar Schwenckfeld,,,
Valentin Weigel,,,
Nikolai Berdyaev,Christian existentialism,Russian philosophy,20th-century philosophy
John Pordage,,,
John Amos Comenius,,,
Louis Claude de Saint-Martin,,,
Friedrich Wilhelm Joseph Schelling,Continental philosophy,Western philosophy,19th-century philosophy
Paul Tillich,,,
Hermeticism,,,
Johannes Trithemius,,,
Thomas Muffet,,,
Franciscus Sylvius,,,
Thomas Browne,,,
Jan Baptist van Helmont,,,
Adam Haslmayr,,,
Gabriel François Venel,,,
Jane Bennett (political theorist),Continental philosophy,Western philosophy,Contemporary philosophy
Giorgio Agamben,Continental philosophy,Western philosophy,Contemporary philosophy
Orpheus,,,
Camaldolese,,,
Leonardo Bruni,,,
John Argyropoulos,Renaissance philosophy,Western philosophy,Renaissance philosophy
Andrea Biglia,,,
Leon Battista Alberti,,,
Poliziano,,,
Bessarion,Neoplatonism,Western philosophy,Renaissance philosophy
Francesco Cattani da Diacceto,,,
Giles of Viterbo,,,
Ammonius Hermiae,Neoplatonism,,
Olympiodorus of Thebes,,,
John Philoponus,,Western philosophy,Byzantine philosophy
Asclepius of Tralles,,,
Theodore of Mopsuestia,,,
Severus of Antioch,,,
David the Invincible,,,
Photios I of Constantinople,,,
Al-Hakim_bi-Amr_Allah,,,
Hamid al-Din al-Kirmani,,,
Michael Psellos,,,
