Label,Type,Description,Tag
Hermann Ulrici,German idealism,Western philosophy,19th-century philosophy
Andrew Seth Pringle-Pattison,,,
William Torrey Harris,,,
George Herbert Mead,Pragmatism,Western philosophy,20th-century philosophy
Lester Frank Ward,,,
Francis Wayland Parker,,,
Everett Dean Martin,,,
Mordecai Kaplan,,,
B. R. Ambedkar,,,
Tsunesaburō Makiguchi,,,
Hu Shih,Pragmatism,Chinese philosophy,
Feng Youlan,,,
Maxine Greene,Continental Philosophy,,Contemporary philosophy
Margaret Naumburg,,,
Axel Honneth,Continental philosophy,Western philosophy,Contemporary philosophy
Elizabeth S. Anderson,Analytic,Western philosophy,Contemporary philosophy
Robert E. Park,,,
Herbert Schneider,,,
Catherine Malabou,Continental philosophy,Western philosophy,Contemporary philosophy
Sidney Morgenbesser,,,
Carl Rogers,,,
Thomas Carlyle,,,
Mary Moody Emerson,,,
Joseph Marie baron de Gérando,,,
Matthew Arnold,,,
Emily Dickinson,,,
Nathaniel Hawthorne,,,
José Martí,,,
Herman Melville,,,
John Muir,,,
John Ruskin,Continental philosophy,Western philosophy,19th-century philosophy
Wallace Stevens,,,
Walt Whitman,,,
Oscar Wilde,,,
Pierre Paul Royer-Collard,,,
Théodore Simon Jouffroy,,,
Jean Philibert Damiron,,,
Jules Barthélemy-Saint-Hilaire,,,
Charles de Rémusat,,,
Jules Simon,,,
Paul Janet,,,
Adolphe Franck,,France,
Patrick Edward Dove,,,
Antoine Destutt de Tracy,French Liberal School,,
Charles Bonnet,,,
Émile Boutroux,French spiritualism,Western philosophy,19th-century philosophy
Michel Henry,Phenomenology,Western philosophy,20th-century philosophy
Stendhal,,,
Andrés Bello,,,
Antoine Lavoisier,,,
Georgi Plekhanov,Marxism,Russian philosophy,19th-century philosophy
Alessandro Verri,,,
William Eden 1st Baron Auckland,,,
Jesus,,,
Henry St John 1st Viscount Bolingbroke,,,
William Robertson (historian),,,
George Wythe,,,
John Taylor of Caroline,,,
James Monroe,,,
John Randolph of Roanoke,,,
Albert Jay Nock,,,
Political culture of the United States,,,
Gustave de Molinari,,,
Lysander Spooner,Individualist anarchism,Western philosophy,19th-century philosophy
Émile Armand,Individualist anarchism,Western philosophy,20th-century philosophy
Kevin Carson,,,
Lev Chernyi,,,
Voltairine de Cleyre,,,
John Henry Mackay,,,
Ricardo Mella,,,
Henry Meulen,,,
Philippe Buonarroti,,,
Joachim Lelewel,,,
Carlo Cafiero,Anarcho-communism,,
Emma Goldman,Anarchism,,19th-century philosophy
Daniel Guérin,,,
Karl Korsch,Western Marxism,Western philosophy,20th-century philosophy
Jan Wacław Machajski,,,
Sergey Nechayev,,,
A. S. Neill,,,
Neil Postman,,,
E. P. Thompson,,,
Bhagat Singh,,,
Leon Trotsky,,,
Joseph Stalin,,,
Mao Zedong,,,
Fidel Castro,,,
Frankfurt School,,,
Jean-Marie Guyau,,Western philosophy,19th-century philosophy
Élisée Reclus,,,
Alexander Berkman,,,
Murray Bookchin,Continental philosophy,Western philosophy,20th-
Kōtoku Shūsui,,,
Nestor Makhno,,,
Ricardo Flores Magón,,,
Rudolf Rocker,,,
Colin Ward,,,
George Woodcock,,,
Alfred de Musset,,,
Alfred Kempe,,,
Edward Vermilye Huntington,,,
Henry M. Sheffer,,,
Brand Blanshard,rationalism,Western philosophy,20th-century philosophy
Timothy Sprigge,British idealism,Western philosophy,Contemporary philosophy
John William Miller,,,
John Elof Boodin,,,
Ralph Barton Perry,,,
Nelson Goodman,Analytic,Western philosophy,20th-century philosophy
Susan Haack,Analytic,Western philosophy,Contemporary philosophy
Cheryl Misak,,,
William Frankena,Analytic philosophy,Western philosophy,20th-century philosophy
Robert Paul Wolff,,,
Yehoshua Bar-Hillel,,,
Carl Gustav Hempel,Analytic philosophy,Western philosophy,20th-century philosophy
Hans Reichenbach,Analytic,Western philosophy,20th-century philosophy
David Lewis (philosopher),Analytic,Western philosophy,20th-century philosophy
David Kaplan (philosopher),Analytic philosophy,Western philosophy,Contemporary philosophy
Richard Jeffrey,Analytic philosophy,Western philosophy,20th-century philosophy
Gustav Bergmann,Analytic philosophy,Western philosophy,20th-century philosophy
Reza Negarestani,Continental philosophy,Western philosophy,Contemporary philosophy
Paul Natorp,Neo-Kantianism,Western philosophy,19th-century philosophy
Karl Weierstrass,,,
Enrique Dussel,Continental philosophy,Western philosophy,20th-century philosophy
Marvin Farber,Phenomenology,Western philosophy,20th-century philosophy
Eugen Fink,,,
Shaun Gallagher,Phenomenology,Western philosophy,Contemporary philosophy
Roman Ingarden,Phenomenology,Western philosophy,20th-century philosophy
Leszek Kołakowski,Continental philosophy,Western philosophy,20th-
Hans Köchler,Continental philosophy,Western philosophy,20th-century philosophy
Ludwig Landgrebe,,,
Helmuth Plessner,,,
Erich Przywara,Phenomenology,Western philosophy,20th-century philosophy
Adolf Reinach,Munich phenomenology,Western philosophy,20th-century philosophy
Max Scheler,Phenomenology,Western philosophy,20th-century philosophy
Barry Smith (ontologist),,,
Edith Stein,Continental philosophy,Western philosophy,20th-century philosophy
Hermann Weyl,,,
Pope John Paul II,Personalism,Western philosophy,20th-century philosophy
Dan Zahavi,Phenomenology,Western philosophy,
Kevin Mulligan,Analytic philosophy,Western philosophy,Contemporary philosophy
Heinrich Scholz,,,
Kurt Lewin,,,
Kurt Koffka,Gestalt psychology,Western philosophy,20th-century philosophy
Wolfgang Köhler,Gestalt psychology,,
Robert Musil,,,
Lev Vygotsky,,,
Frederik Jacobus Johannes Buytendijk,,,
George E. Coghill,,,
Hans Driesch,,,
Arnold Gesell,,,
Melanie Klein,,,
Claude Lévi-Strauss,Structuralism,,
Jean Piaget,,,
Georges Politzer,,,
Ferdinand de Saussure,Structuralism,Western philosophy,19th-century philosophy
Paul Ferdinand Schilder,,,
Nikolaas Tinbergen,,,
David Abram,Continental philosophy,Western philosophy,20th-
Renaud Barbaras,Phenomenology,,21st-century philosophy
Andy Clark,Analytic philosophy,Western philosophy,21st-century philosophy
Rosalyn Diprose,Continental,Western philosophy,Contemporary philosophy
James M. Edie,Continental philosophy,Western philosophy,20th-century philosophy
Galen Johnson,Continental philosophy,Western Philosophy,20th-century philosophy
Leonard Lawlor,Continental philosophy,Western philosophy,
Ron McClamrock,,,
Edward Schillebeeckx,,,
Hermann Schmitz (philosopher),,,
Gilbert Simondon,Continental philosophy,Western philosophy,20th-century philosophy
Tran Duc Thao,,,
Evan Thompson,,,
Francisco Varela,,,
Iris Marion Young,,,
Max Picard,,,
Émile Meyerson,French historical epistemology,Western philosophy,20th-century philosophy
Abel Rey,,,
Georges Canguilhem,Continental philosophy,Western philosophy,20th-century philosophy
Dominique Lecourt,,,
François Dagognet,,,
Rogelio Salmona,,,
Don Ihde,Continental philosophy,Western philosophy,Contemporary philosophy
Michel Serres,Continental philosophy,Western philosophy,Contemporary philosophy
Gaëtan Gatian de Clérambault,,,
Salvador Dalí,,,
Roman Jakobson,Moscow linguistic circle,,
Luce Irigaray,Continental philosophy,Western philosophy,Contemporary philosophy
Julia Kristeva,Continental philosophy,Western philosophy,Contemporary philosophy
Frantz Fanon,Marxism,Africana philosophy,
Jacques-Alain Miller,,,
Éric Laurent (psychoanalyst),,,
Élisabeth Roudinesco,,,
Mari Ruti,Continental philosophy,Western philosophy,Contemporary philosophy
Lacanianism,,,
Ljubljana school of psychoanalysis,,,
Wassily Kandinsky,,,
Raymond Queneau,,,
Edwin Arthur Burtt,Pragmatism,Western philosophy,20th-century philosophy
André Lalande (philosopher),,,
Victor Delbos,,,
Abdel Rahman Badawi,Arab existentialism,Western philosophy,
Wilbur Marshall Urban,,Western philosophy,20th-century philosophy
Éric Weil,,,
Friedrich Albert Lange,Neo-Kantianism,Western philosophy,19th-century philosophy
Henry E. Allison,,Western philosophy,Contemporary philosophy
Eduard Bernstein,Socialism,Western philosophy,Modern philosophy
Karl Höchberg,,,
Karl Kautsky,Orthodox Marxism,Western philosophy,Modern philosophy
Jean Jaurès,,,
Revisionism (Marxism),,,
Social Democratic Party of Germany,,,
Joseph Dietzgen,Continental philosophy,,19th century philosophy
Willy Brandt,,,
Karl Renner,,,
Otto Bauer,,,
Bruno Kreisky,,,
Max Adler (Marxist),Austromarxism,Western philosophy,20th-century philosophy
Rudolf Hilferding,,,
Arthur de Gobineau,,,
Eugène Sue,,,
Wilhelm Weitling,,,
Enrico Arrigoni,,,
Adolf Brand,,,
Ray Brassier,Continental philosophy,Western philosophy,Contemporary philosophy
Steven T. Byington,,,
John Carroll (author),,,
Otto Gross,,,
Miguel Giménez Igualada,,,
Gustav Landauer,,,
Dora Marsden,,,
H. L. Mencken,,,
Erich Mühsam,,,
Saul Newman,,,
Renzo Novatore,Individualist anarchism,Western Philosophy,20th-century philosophy
Dmitry Pisarev,Russian nihilism,Russian philosophy,19th-century philosophy
Herbert Read,,,
Wilhelm Reich,,,
Ann Radcliffe,,,
Algernon Charles Swinburne,,,
Jean Genet,,,
Jesús Franco,,,
Antonin Artaud,,,
Dennis Cooper,,,
Angela Carter,,,
Jim Morrison,,,
Lydia Lunch,,,
Yukio Mishima,,,
Guillaume Apollinaire,,,
Camille Paglia,,,
Pier Paolo Pasolini,,,
Pete Doherty,,,
Surrealism,,,
John Waters,,,
William Petty,Classical economics,,17th-century philosophy
Jean-François Melon,,,18th-century philosophy
John Law (economist),,,
Sun Tzu,,,
Jean-Baptiste Colbert,,,
Jacques Claude Marie Vincent de Gournay,,,
Victor de Riqueti marquis de Mirabeau,,,
Pierre-Paul Lemercier de La Rivière de Saint-Médard,,,
André Morellet,,,
Guillaume-François Le Trosne,,,
Nicolas Baudeau,,,
Pierre Samuel du Pont de Nemours,,,
Manuel Belgrano,,,
Jean Boisard,,,
Charles Davenant,,,
Pliny the Elder,,,
Edmond Halley,,,
Pliny the Younger,,,
Sébastien Le Prestre de Vauban,,,
Paine (surname),,,
Grant Allen,,,
Peter Barnes (entrepreneur),,,
Gary Becker,,,
Arthur Brisbane,,,
Frank Chodorov,,,
Paul Douglas,,,
David Lloyd George,,,
Jiang Kanghu,,,
Helen Keller,,,
Christopher Lasch,,,
Lizzie Magie,,,
Bill Moyers,,,
Scott Nearing,,,
George W. Norris,,,
Franz Oppenheimer,,,
Franklin D. Roosevelt,,,
Theodore Roosevelt,,,
Joseph Stiglitz,,,
Sun Yat-sen,,,
Maria de Naglowska,,,
Marcel Mauss,,,
Jean Baudrillard,Continental philosophy,Western philosophy,20th-
Nick Land,Continental philosophy,Western philosophy,Contemporary philosophy
Michel Leiris,,,
Roland Barthes,Continental philosophy,Western philosophy,20th-century philosophy
Adi Shankara,,,
Boris Mouravieff,,,
Jean Borella,,,
Jean Hani,,,
Charles III,,,
Ananda Coomaraswamy,Perennialism,Indian philosophy,Modern philosophy
Arturo Reghini,,,
Alain de Benoist,Nouvelle Droite,Western philosophy,Contemporary philosophy
Huston Smith,,,
Bernard Philip Kelly,,,
Harry Oldmeadow,,,
Joseph Epes Brown,,,
Richard Smoley,,,
Wendell Berry,,,
James Cutsinger,,,
Algis Uždavinys,,,
Ali Lakhani,,,
Simone Weil,Continental philosophy,Western philosophy,20th-century philosophy
Alain Daniélou,,,
Mimamsa,,,
Nyaya,,,
Samkhya,,,
Sramana,,,
Yoga,,,
Vedas,,,
Vedanta,,,
Pre-sectarian Buddhism,,,
Madhyamaka,,,
Yogachara,,,
Buddha-nature,,,
Titus Burckhardt,Perennialism,,
Martin Lings,,,
Giorgio de Santillana,,,
Harry Austryn Wolfson,,,
Allameh Sayyed Abul Hasan Rafiee Qazvini,,,
Toshihiko Izutsu,,,
Gai Eaton,,,
Gholamreza Aavani,,Islamic philosophy,Contemporary philosophy
James Winston Morris,,,
Osman Bakar,,Islamic Philosophy,Contemporary Islamic philosophy
Gholam-Ali Haddad-Adel,,,
Jean-Louis Michon,,,
Enes Karić,,,
Luce López-Baralt,,,
Muzaffar Iqbal,,,
Nuh Ha Mim Keller,,Jordan,Modern era
Sachiko Murata,,,
Abdurrahman Wahid,,,
Nurcholish Madjid,,,
Komaruddin Hidayat,,,
Md. Salleh Yaapar,,,
Fazlun Khalid,,,
Zailan Moris,,,
Walter James 4th Baron Northbourne,,,
Whitall Perry,,,
Mawil Izzi Dien,,,
İbrahim Özdemir,,,
Syed Nomanul Haq,,,
Reza Shah-Kazemi,,,
Caner Dagli,,,
Joseph E. B. Lumbard,,,
İbrahim Kalın,,,
Waleed El-Ansary,,,
Mohammed Rustom,,,
Laleh Bakhtiar,,,
Nader Ardalan,,,
Feeroozeh Golmohammadi,,,
Marco Pallis,,,
William Stoddart,,,
Leo Schaya,,,
Charles Upton (poet),,,
Philip Sherrard,,,
Michael O. Fitzgerald,,,
Theodoric of Freiberg,,,
Marguerite Porete,Christian mysticism,Western philosophy,Medieval philosophy
Huldrych Zwingli,,,Renaissance
Eckhart Tolle,,,
Matthew Fox (priest),,,
Bernard McGinn (theologian),,,
William of St-Thierry,,,
Oxford Movement,,,
Damião de Góis,,,
John Keble,,,
Shen Kuo,,,
Klemens von Metternich,,,
Joseph Butler,Empiricism,Western philosophy,18th-century philosophy
Charles Forbes René de Montalembert,,,
Titus Brandsma,,,
Charles Dickens,,,
Faustina Kowalska,,,
Pope Francis,,,
Maximilian Kolbe,,,
Ronald Knox,,,
Pope Leo XIII,,,
Bernard Lonergan,,,
Flannery O'Connor,,,
Jaroslav Pelikan,,,
Linda Zagzebski,,,
Guillaume-Chrétien de Lamoignon de Malesherbes,,,
Camillo Benso Count of Cavour,,,
Bertrand de Jouvenel,Conservatism,Western Philosophy,20th-century philosophy
Erik von Kuehnelt-Leddihn,,,20th-century
Robert Nisbet,,,
Rafael Gambra Ciudad,Carlism,Western philosophy,20th-century philosophy
Ralph Raico,,,
Janusz Korwin-Mikke,,,
Emmanuel Todd,,,
Bernard-Henri Lévy,Continental philosophy,Western philosophy,20th-
Jean de La Bruyère,,,
Robert Joseph Pothier,,,
Georges-Louis Leclerc Comte de Buffon,,,
Jean-Marie Pardessus,,,
Antonio de Capmany y Montpalau,,,
Philippe-Antoine Merlin de Douai,,,
Constantin François de Chassebœuf comte de Volney,,,
Benjamin Constant,,,
Paul Louis Courier,,,
Francisco Martínez de la Rosa,,,
The_Federalist_Papers,,,
Alphonse de Lamartine,,,
Raymond-Theodore Troplong,,,
Alexandre Dumas,,,
Mariano José de Larra,,,
1837 generation,,,
Constitution of California,,,
Ramón Rosa,,,
Antonio Bermejo,,,
Argentine Constitution of 1853,,,
Joaquín V. González,,,
Juan B. Justo,,,
Generation of '80,,,
Victoria Ocampo,,,
Álvaro Alsogaray,,,
Mario Bunge,Analytic philosophy,Western philosophy,Contemporary philosophy
Juan José Sebreli,,,20th-century philosophy
Mariano Grondona,,,
José Ignacio García Hamilton,,,
Carlos Alfredo Rodríguez,,,
Carlos Rodríguez Braun,,,
Ricardo López Murphy,,,
José Luis Espert,,,
Javier Milei,,,
Gloria Álvarez,,,
Georges Danton,,,
Camille Desmoulins,,,
Jean-Paul Marat,,,
Jonathan Swift,,,
Thomas Blackwell (scholar),,,
Ralph Cudworth,,,
Samuel Clarke,,,
William Paley,,,
David Seabury,,,
John Warwick Montgomery,,,
Anna Wheeler (author),,,
Manuel José Quintana,,,
Juan Vázquez de Mella,Carlism,Western philosophy,19th
Ramiro de Maeztu,,,
Plinio Corrêa de Oliveira,Counter-revolutionary,Western philosophy,20th-century philosophy
Nicolás Gómez Dávila,Traditionalist conservatism,Western philosophy,20th-century philosophy
Miguel Antonio Caro,,,
Jaime Balmes,Catholic philosophy,Western philosophy,19th-century philosophy
Antonio Aparisi Guijarro,,,
Enrique Gil Robles,,,
Víctor Pradera Larumbe,,,
Francisco Elías de Tejada y Spínola,,,
Jaime Guzmán,,,20th-century philosophy
Karl Freiherr von Vogelsang,,,
Gustave Thibon,Christian philosophy,Western philosophy,Modern philosophy
Theodor Lipps,Munich phenomenology,Western philosophy,19th-century philosophy
Dietrich von Hildebrand,Continental philosophy,Western philosophy,Contemporary philosophy
Viktor Frankl,,,
Alicja Gescinska,,Western philosophy,Contemporary philosophy
German Romanticism,,,
Johann Gustav Droysen,Historism,Western philosophy,19th-century philosophy
Franz Boas,,,
Kalidasa,,,
Thomas Abbt,,,
Ľudovít Štúr,,,
August Wilhelm Schlegel,Jena Romanticism,Western Philosophy,19th-century philosophy
Johann Christoph Adelung,,,
August Schleicher,Historicism,,
Valentin Voloshinov,,,
Alexander Potebnja,,,
Joxe Azurmendi,Continental philosophy,Western philosophy,Contemporary philosophy
Jakob Sigismund Beck,Post-Kantian,Western philosophy,18th-century philosophy
Johann Friedrich Schultz,,,
Heinrich Ewald,,,
Jacob Grimm,,,
Carl Vogt,German materialism,Western philosophy,19th-century philosophy
Johannes Schmidt (linguist),,,
August Leskien,Neogrammarian,,
Pāṇini,,Gandhāra,[1]
Michel Bréal,,,
Patanjali,,,
Leonard Bloomfield,,,
Frits Staal,,,
Heinrich Zimmer,,,
Hermann Oldenberg,,,
Ernesto Laclau,Post-Marxism,Western philosophy,20th
Antoine Meillet,,,
Émile Benveniste,,,
Roy Harris (linguist),,,
Sebastian Shaumyan,Structural Linguistics,,
Pieter Seuren,,,
Louis Hjelmslev,,,
John Rupert Firth,,,
William Labov,,,
Jan Mukařovský,Structuralism,,
Prague linguistic circle,,,
Jan Baudouin de Courtenay,,,
Nikolai Trubetzkoy,,,
Karl Verner,,,
Adolf Noreen,,,
James Wood (critic),,,
Eric de Kuyper,,,
Philippe-Joseph Salazar,,,
Gérard Genette,,,
Benoît Peeters,,,
Stuart Hall (cultural theorist),,,
Srećko Horvat,Continental philosophy,Western philosophy,Contemporary philosophy
Louis-Ferdinand Céline,,,
Henri Lefebvre,Continental philosophy,Western philosophy,20th-century philosophy
Paul Nizan,,,
Wilhelm Stekel,,,
R. D. Laing,,,
Jacques Rancière,Continental philosophy,Western philosophy,20th-
Judith Butler,Continental philosophy,Western philosophy,20th-
Shulamith Firestone,,,
Betty Friedan,,,
Germaine Greer,,,Second-wave feminism
Grace Ji-Sun Kim,Protestant theology,,21st-century philosophy
Kate Millett,,,
Juliet Mitchell,,,
Ann Oakley,,,
Adrienne Rich,,,
Rae Langton,Analytic,Western philosophy,Contemporary philosophy
H. A. Prichard,Analytic philosophy,Western philosophy,20th-century philosophy
John Cook Wilson,,Western philosophy,19th-century philosophy
Rom Harré,Analytic philosophy,Western philosophy,Contemporary philosophy
Kevin Vanhoozer,,,
Herbert James Paton,British idealism,Western philosophy,19th-century philosophy
R. M. Hare,,,
Richard Webster (British author),,,
Ullin Place,Analytic philosophy,Western philosophy,20th-century philosophy
G. A. Cohen,,,
Þorsteinn Gylfason,,,
J. J. C. Smart,Analytic philosophy,Western philosophy,20th-century philosophy
Alan R. White,,,
John Alexander Smith,British idealism,Western philosophy,19th-century philosophy
Errol Harris,,Western philosophy,20th-century philosophy
Harold H. Joachim,British idealism,Western philosophy,19th-century philosophy
G. R. G. Mure,British idealism,Western philosophy,20th-century philosophy
H. W. B. Joseph,,,
William Pepperell Montague,,,
Bernard Bosanquet (philosopher),British idealism,Western philosophy,20th-century philosophy
A. C. Ewing,Analytic idealism,Western philosophy,20th-century philosophy
James A. Michener,,,
C. A. Campbell,British idealism,Western philosophy,20th-century philosophy
Guido De Ruggiero,,,
Niall Ferguson,,,
Francesco de Sanctis,,,
Carlo Rosselli,,,
Giorgio Bassani,,,
Eugenio Montale,,,
José Carlos Mariátegui,Marxism–Leninism,,
Norberto Bobbio,Social Liberalism,Western philosophy,Contemporary philosophy
George Mosse,,,
Amadeo Bordiga,,,
Gaetano Mosca,Italian school of elitism,Western philosophy,20th-century philosophy
William K. Carroll,,,
New Left,,,
Pasquale Galluppi,,,
Vincenzo Gioberti,,,
Giuseppe Mazzini,Italian nationalism,Western philosophy,Modern philosophy
Bertrando Spaventa,Hegelianism,,19th-century philosophy
Giovanni Treccani,,,
Ugo Spirito,,,
Benito Mussolini,,,
Giuseppe Bottai,,,
Luigi Federzoni,,,
Margherita Sarfatti,,,
A. James Gregor,,,
Armando Carlini,,,
Melchiorre Gioia,,,
Gian Domenico Romagnosi,,,
Italian Republican Party,,,
Giuseppe Garibaldi,,,
George Holyoake,,,
Pietro Nenni,,,
Woodrow Wilson,,,
Richard Congreve,,,
Aurelio Saffi,,,
Ernest Renan,Continental philosophy,Western philosophy,19th-century philosophy
Paul de Rousiers,,,
Saul Alinsky,,,
Édouard Berth,,,
Adolf Hitler,,,
Hubert Lagardelle,,,
Curzio Malaparte,,,
Robert Michels,,,
Paolo Orano,,,
Agnes Taubert,Post-Schopenhauerian pessimism,Western philosophy,19th-century philosophy
Johannes Rehmke,Continental philosophy,Western philosophy,19th-century philosophy
Friedrich Karl Forberg,,,
Alfred Adler,,,
George Kelly (psychologist),,,
Hans Kelsen,Legal positivism,Western philosophy,20th-century philosophy
Gerard Heymans,,,20th Century Philosophy
Piero Martinetti,,,
Horst Dreier,,,
Joseph Raz,Legal positivism,Western philosophy,Contemporary philosophy
Josef Laurenz Kunz,,,
Giorgio Del Vecchio,,Western philosophy,20th-century philosophy
Luigi Einaudi,,,
Piero Gobetti,,,
Luiz Carlos Bresser-Pereira,,,
Tercio Sampaio Ferraz Jr.,,,
Celso Lafer,,,
Harry Levin,,,
José Ingenieros,,,
Julián Marías,,,20th-century philosophy
María Zambrano,,,
Antonio Machado,,,
Mario Vargas Llosa,,,
José Antonio Primo de Rivera,,,
José Gaos,,,
Generation of '27,,,
Olavo de Carvalho,,,
Davud Monshizadeh,,,
Gregory Areshian,,,
Jean-François Thiriart,,,
Rabindranath Tagore,,,
Babette Babich,,,
Wolfgang Drechsler,,,
Hans Robert Jauss,,,
Reinhart Koselleck,,,
Dennis J. Schmidt,Continental,Western philosophy,Contemporary philosophy
Gianni Vattimo,Continental philosophy,Western philosophy,Contemporary philosophy
Heinrich Blücher,,Western philosophy,20th-century philosophy
William A. Earle,Existentialism,,20th-century philosophy
Vilém Flusser,,,
Rosa Luxemburg,,,
J. A. Hobson,,,
Seyla Benhabib,Critical theory,Western philosophy,Contemporary philosophy
Elisabeth Young-Bruehl,,,
Mario Kopić,Continental philosophy,Western Philosophy,21st-century philosophy
Achille Mbembe,,,
Paul Celan,,,
Ivan Illich,Catholicism,Western philosophy,Contemporary philosophy
Max Kommerell,,,
Aby Warburg,,,
Dominick LaCapra,,,
Justin Clemens,,,
Tiqqun,,Western philosophy,
Derek Gregory,,,
Daniel Heller-Roazen,,,
Vincenzo Di Nicola,,,
Paul Cohen,,,
Stéphane Mallarmé,,,
Fernando Pessoa,,,
Sylvain Lazarus,,,
Jean Hyppolite,Continental philosophy,Western philosophy,20th-century philosophy
Peter Hallward,Continental philosophy,Western philosophy,Contemporary philosophy
Simon Critchley,Continental philosophy,Western philosophy,
Mehdi Belhaj Kacem,,,
Alberto Toscano,Western Marxism,Western philosophy,Contemporary philosophy
Oliver Feltham,,,
Nina Power,,,
Jason Barker,,,
Charles Larmore,Analytic,Western philosophy,Contemporary philosophy
Étienne Balibar,Continental philosophy,Western philosophy,20th
Giulio Angioni,,,
Terry Eagleton,,,
Pierre Macherey,Continental philosophy,Western philosophy,Contemporary philosophy
Stephen Resnick,,,
Richard D. Wolff,,,
Anthony Giddens,,,
Roy Bhaskar,Critical realism (philosophy of the social sciences),Western philosophy,Contemporary philosophy
Kurt Goldstein,,,
Claude Bernard,,,
Émile Chartier,Continental philosophy,Western philosophy,20th-century philosophy
Arnold Davidson,,Western philosophy,Contemporary philosophy
André Maurois,,,
Jean Mistler,,,
Alain de Botton,,,
Carl von Clausewitz,,,
Célestin Bouglé,,,
Élie Halévy,,,
Bhagavad Gita,,,
Louise Michel,,,
Pope Paul VI,,,
Diogenes Allen,,,
Dewi Zephaniah Phillips,Analytic philosophy,Western philosophy,20th-century philosophy
Czesław Miłosz,,,
János Pilinszky,,,
Jean-Luc Godard,,,
Tim Keller (pastor),,,
Pankaj Mishra,,,
Christian Wiman,,,
Jean Grenier,,,
Mikhail Lermontov,,,
Anton Chekhov,,,
Heinrich Heine,,,
Sergei Bulgakov,Christian philosophy,Russian philosophy,20th-century philosophy
John Middleton Murry,,,
Jules de Gaultier,,,
Lucien Lévy-Bruhl,,,
Seraphim of Sarov,,,
Aleksey Khomyakov,,,
Konstantin Leontiev,,,
Peter Struve,Liberal conservatism,Russian philosophy,Contemporary philosophy
Semyon Frank,Christian mysticism,Russian philosophy,20th-century philosophy
Richard Kroner,,,
Davor Džalto,Postmodern theology,,
Peter Maurin,,,
Ivan Devčić,,,
Mortimer J. Adler,Aristotelianism,Western philosophy,20th-century philosophy
Shimon bar Yochai,,,
Helena Blavatsky,Theosophy,Russian philosophy,Modern philosophy
Pavel Florensky,Christian philosophy,Russian philosophy,20th-century philosophy
Andrei Bely,,,
Alexander Blok,,,
Lev Karsavin,Continental philosophy,Russian philosophy,20th-century philosophy
Edward Bulwer-Lytton,,,
Mahatma Gandhi,,,British Raj
Guido von List,,,
Ivan Aksakov,,,
Richard Pipes,,,
Ivan Grevs,,,
Vladimir Lossky,,,
A. D. Lublinskaya,,,
Christoph Blumhardt,,,
Bernard Charbonneau,,,
Lewis Mumford,,,
Dietrich Bonhoeffer,,,
Reinhold Niebuhr,,,
John Kenneth Galbraith,,,
Daniel Bell,,,
Situationist International,,,
André Neher,,,
Charles Péguy,,,
Radovan Richta,,,
Greg Boyd (theologian),,,
Vernard Eller,,,
Ted Kaczynski,,,
Randal Marlin,,,
Robert K. Merton,,,
William Stringfellow,,,
Paul Virilio,Continental philosophy,Western philosophy,Contemporary philosophy
Langdon Winner,,,
John Zerzan,Anarcho-primitivism,Western philosophy,Contemporary philosophy
Willem H. Vanderburg,,,
José Bové,,,
Egbert Schuurman,,,
Serge Latouche,Continental philosophy,Western philosophy,20th-
Marva Dawn,,,
Dominique Bourg,,,
Jean-Claude Guillebaud,,,
Noël Mamère,,,
Christian anarchism,,,
Shane Claiborne,,,
Rustum Roy,,,
Carl Mitcham,,,
Jim Wallis,,,
Ursula Franklin,,,
Brian Brock,,,
Andrew Feenberg,,,
James M. Houston,,,
George Dyson (science historian),,,
Yuk Hui,,,
Michel Leplay,,,
Jacques Maury,,,
Jacques Chevalier,,,
Marc Sangnier,,,
Ngô Đình Nhu,,,
Abbé Pierre,,,
Pierre Trudeau,,,
John of St. Thomas,,,
Jean Daujat,,,
John Haddox,,,
Yves Simon (philosopher),,,
Maurice Barrès,,,
Numa Denis Fustel de Coulanges,,,Nineteenth century
Louis Dimier,,,
Édouard Drumont,,,
Steve Bannon,,,
Fulgencio Batista,,,
Charles Coughlin,,,
Léon Degrelle,,,
Michel Déon,,,
Maurice Duplessis,,,
Francisco Franco,,,
Charles de Gaulle,,,
Henri Count of Paris (1908–1999),,,
T. E. Hulme,,,
Fumimaro Konoe,,,
Laureano Vallenilla Lanz,,,
Jacques Laurent,,,
François Mauriac,,,
Carlos Pereyra (writer),,,
Juan Perón,,,
Philippe Pétain,,,
Augusto Pinochet,,,
António de Oliveira Salazar,,,
António Sardinha,,,
Gonzalo Vial Correa,,,
Hugo Herrera (Chilean philosopher),National conservatism,Western philosophy,Contemporary philosophy
Georges Vacher de Lapouge,,,
Miguel Serrano,,,
Mario Góngora,,,
Ferdinand Tönnies,,,
Mario Desbordes,,,
Andrew Arato,,,
Copenhagen School (international relations),,,
Carlo Galli (political scientist),,,
Waldemar Gurian,,,
Jiang Shigong,,,
Carlo Lottieri,Libertarianism,Western philosophy,Contemporary philosophy
Gianfranco Miglio,English School,,
Curtis Yarvin,,,
Hans Morgenthau,,,
Herfried Münkler,,,
Jacob Taubes,,Western philosophy,20th-century philosophy
Mario Tronti,,,
Wang Shaoguang,,,
Georges Dumézil,,,
Louis Dumont,,,
Giorgio Locchi,,,
Marco Tarchi,,,
Dragoslav Bokan,,,
